23/04/2025 19:39:12,P-09iohfyd,TRUE,D_1_1,Neutral,24,Male,French,A
29/04/2025 22:02:34,P-4spo87q4,TRUE,D_1_1,Neutral,24,Female,Française ,A
29/04/2025 22:58:39,P-57supgbn,TRUE,D_1_1,Support,24,Female,Française ,A
24/04/2025 19:08:01,P-5v7x64tc,TRUE,D_1_1,Blame,24,Female,French,A
24/04/2025 19:59:05,P-8r0lc177,TRUE,D_1_1,Neutral,24,Male,France,A
24/04/2025 19:19:18,P-cz11d4gc,TRUE,D_1_1,Blame,25,Male,France ,A
24/04/2025 17:26:38,P-gde5qxvm,TRUE,D_1_1,Blame,36,Male,Spain,A
23/04/2025 20:59:30,P-iijcu7xv,TRUE,D_1_1,Blame,23,Male,French,A
24/04/2025 20:55:20,P-quztl8tk,TRUE,D_1_1,Blame,24,Female,French,A
24/04/2025 12:41:17,P-twstigfy,TRUE,D_1_1,Blame,25,Female,France,A
23/04/2025 20:25:32,P-buurtea4,TRUE,D_1_10,Neutral,24,Male,Française,B
24/04/2025 00:07:32,P-ccz4hxwi,TRUE,D_1_10,Neutral,25,Male,French,B
23/04/2025 20:34:01,P-hdhnsjnd,TRUE,D_1_10,Support,23,Male,Français ,B
24/04/2025 14:37:46,P-wqsbozun,TRUE,D_1_10,Neutral,25,Male,French,B
23/04/2025 20:25:35,P-buurtea4,TRUE,D_1_2,Neutral,24,Male,Française,B
24/04/2025 00:05:47,P-ccz4hxwi,TRUE,D_1_2,Neutral,25,Male,French,B
23/04/2025 20:31:05,P-hdhnsjnd,TRUE,D_1_2,Blame,23,Male,Français ,B
24/04/2025 14:39:36,P-wqsbozun,TRUE,D_1_2,Blame,25,Male,French,B
23/04/2025 19:37:30,P-09iohfyd,TRUE,D_1_3,Support,24,Male,French,A
29/04/2025 22:01:08,P-4spo87q4,TRUE,D_1_3,Support,24,Female,Française ,A
29/04/2025 23:00:17,P-57supgbn,TRUE,D_1_3,Blame,24,Female,Française ,A
24/04/2025 19:06:11,P-5v7x64tc,TRUE,D_1_3,Blame,24,Female,French,A
24/04/2025 20:00:12,P-8r0lc177,TRUE,D_1_3,Neutral,24,Male,France,A
24/04/2025 19:21:57,P-cz11d4gc,TRUE,D_1_3,Neutral,25,Male,France ,A
24/04/2025 17:27:24,P-gde5qxvm,TRUE,D_1_3,Support,36,Male,Spain,A
23/04/2025 21:00:42,P-iijcu7xv,TRUE,D_1_3,Blame,23,Male,French,A
24/04/2025 20:57:22,P-quztl8tk,TRUE,D_1_3,Neutral,24,Female,French,A
24/04/2025 12:39:47,P-twstigfy,TRUE,D_1_3,Neutral,25,Female,France,A
23/04/2025 20:24:01,P-buurtea4,TRUE,D_1_4,Neutral,24,Male,Française,B
24/04/2025 00:05:59,P-ccz4hxwi,TRUE,D_1_4,Support,25,Male,French,B
23/04/2025 20:34:04,P-hdhnsjnd,TRUE,D_1_4,Neutral,23,Male,Français ,B
24/04/2025 14:37:33,P-wqsbozun,TRUE,D_1_4,Support,25,Male,French,B
23/04/2025 19:38:24,P-09iohfyd,TRUE,D_1_5,Support,24,Male,French,A
29/04/2025 22:02:16,P-4spo87q4,TRUE,D_1_5,Support,24,Female,Française ,A
29/04/2025 23:00:52,P-57supgbn,TRUE,D_1_5,Support,24,Female,Française ,A
24/04/2025 19:07:33,P-5v7x64tc,TRUE,D_1_5,Support,24,Female,French,A
24/04/2025 20:00:41,P-8r0lc177,TRUE,D_1_5,Support,24,Male,France,A
24/04/2025 19:20:44,P-cz11d4gc,TRUE,D_1_5,Neutral,25,Male,France ,A
24/04/2025 17:29:04,P-gde5qxvm,TRUE,D_1_5,Support,36,Male,Spain,A
23/04/2025 20:59:23,P-iijcu7xv,TRUE,D_1_5,Blame,23,Male,French,A
24/04/2025 20:54:57,P-quztl8tk,TRUE,D_1_5,Neutral,24,Female,French,A
24/04/2025 12:40:55,P-twstigfy,TRUE,D_1_5,Neutral,25,Female,France,A
23/04/2025 20:27:05,P-buurtea4,TRUE,D_1_6,Support,24,Male,Française,B
24/04/2025 00:07:40,P-ccz4hxwi,TRUE,D_1_6,Neutral,25,Male,French,B
23/04/2025 20:30:43,P-hdhnsjnd,TRUE,D_1_6,Neutral,23,Male,Français ,B
24/04/2025 14:39:31,P-wqsbozun,TRUE,D_1_6,Neutral,25,Male,French,B
23/04/2025 19:38:07,P-09iohfyd,TRUE,D_1_7,Support,24,Male,French,A
29/04/2025 22:02:05,P-4spo87q4,TRUE,D_1_7,Support,24,Female,Française ,A
29/04/2025 23:01:13,P-57supgbn,TRUE,D_1_7,Support,24,Female,Française ,A
